Title,Creator,Rights,Type,Description,Identifier,Publisher,State,Locality,EnumerationDistrict,Source,File,,,,,,,,,,,,,,
1950Census-DC1-174-01,Bureau of the Census,Public Domain,Form P1: Census of Population and Housing,"This series contains the 1950 census which attempted to enumerate every person living in the United States on April 1, 1950, although some persons were missed. The enumeration began on April 1, 1950, and was completed within four weeks. | District of Columbia - That part of Police Precinct 3 (Tract 53 - part), Bounded by Corcoran; 17th; Q; New Hampshire Avenue, N. W. This Enumeration District consists of the following block: 7",43290879,National Archives and Records Administration,District of Columbia,Washington,1-174,https://1950census.archives.gov,1950Census/DC01-174/DC1-174-01.jpg,,,,,,,,,,,,,,
1950Census-DC1-174-02,Bureau of the Census,Public Domain,Form P1: Census of Population and Housing,"This series contains the 1950 census which attempted to enumerate every person living in the United States on April 1, 1950, although some persons were missed. The enumeration began on April 1, 1950, and was completed within four weeks. | District of Columbia - That part of Police Precinct 3 (Tract 53 - part), Bounded by Corcoran; 17th; Q; New Hampshire Avenue, N. W. This Enumeration District consists of the following block: 7",43290879,National Archives and Records Administration,District of Columbia,Washington,1-174,https://1950census.archives.gov,1950Census/DC01-174/DC1-174-02.jpg,,,,,,,,,,,,,,
1950Census-DC1-174-03,Bureau of the Census,Public Domain,Form P1: Census of Population and Housing,"This series contains the 1950 census which attempted to enumerate every person living in the United States on April 1, 1950, although some persons were missed. The enumeration began on April 1, 1950, and was completed within four weeks. | District of Columbia - That part of Police Precinct 3 (Tract 53 - part), Bounded by Corcoran; 17th; Q; New Hampshire Avenue, N. W. This Enumeration District consists of the following block: 7",43290879,National Archives and Records Administration,District of Columbia,Washington,1-174,https://1950census.archives.gov,1950Census/DC01-174/DC1-174-03.jpg,,,,,,,,,,,,,,
1950Census-DC1-174-04,Bureau of the Census,Public Domain,Form P1: Census of Population and Housing,"This series contains the 1950 census which attempted to enumerate every person living in the United States on April 1, 1950, although some persons were missed. The enumeration began on April 1, 1950, and was completed within four weeks. | District of Columbia - That part of Police Precinct 3 (Tract 53 - part), Bounded by Corcoran; 17th; Q; New Hampshire Avenue, N. W. This Enumeration District consists of the following block: 7",43290879,National Archives and Records Administration,District of Columbia,Washington,1-174,https://1950census.archives.gov,1950Census/DC01-174/DC1-174-04.jpg,,,,,,,,,,,,,,
1950Census-DC1-174-05,Bureau of the Census,Public Domain,Form P1: Census of Population and Housing,"This series contains the 1950 census which attempted to enumerate every person living in the United States on April 1, 1950, although some persons were missed. The enumeration began on April 1, 1950, and was completed within four weeks. | District of Columbia - That part of Police Precinct 3 (Tract 53 - part), Bounded by Corcoran; 17th; Q; New Hampshire Avenue, N. W. This Enumeration District consists of the following block: 7",43290879,National Archives and Records Administration,District of Columbia,Washington,1-174,https://1950census.archives.gov,1950Census/DC01-174/DC1-174-05.jpg,,,,,,,,,,,,,,
1950Census-DC1-174-06,Bureau of the Census,Public Domain,Form P1: Census of Population and Housing,"This series contains the 1950 census which attempted to enumerate every person living in the United States on April 1, 1950, although some persons were missed. The enumeration began on April 1, 1950, and was completed within four weeks. | District of Columbia - That part of Police Precinct 3 (Tract 53 - part), Bounded by Corcoran; 17th; Q; New Hampshire Avenue, N. W. This Enumeration District consists of the following block: 7",43290879,National Archives and Records Administration,District of Columbia,Washington,1-174,https://1950census.archives.gov,1950Census/DC01-174/DC1-174-06.jpg,,,,,,,,,,,,,,
1950Census-DC1-174-07,Bureau of the Census,Public Domain,Form P1: Census of Population and Housing,"This series contains the 1950 census which attempted to enumerate every person living in the United States on April 1, 1950, although some persons were missed. The enumeration began on April 1, 1950, and was completed within four weeks. | District of Columbia - That part of Police Precinct 3 (Tract 53 - part), Bounded by Corcoran; 17th; Q; New Hampshire Avenue, N. W. This Enumeration District consists of the following block: 7",43290879,National Archives and Records Administration,District of Columbia,Washington,1-174,https://1950census.archives.gov,1950Census/DC01-174/DC1-174-07.jpg,,,,,,,,,,,,,,
1950Census-DC1-174-08,Bureau of the Census,Public Domain,Form P1: Census of Population and Housing,"This series contains the 1950 census which attempted to enumerate every person living in the United States on April 1, 1950, although some persons were missed. The enumeration began on April 1, 1950, and was completed within four weeks. | District of Columbia - That part of Police Precinct 3 (Tract 53 - part), Bounded by Corcoran; 17th; Q; New Hampshire Avenue, N. W. This Enumeration District consists of the following block: 7",43290879,National Archives and Records Administration,District of Columbia,Washington,1-174,https://1950census.archives.gov,1950Census/DC01-174/DC1-174-08.jpg,,,,,,,,,,,,,,
1950Census-DC1-174-09,Bureau of the Census,Public Domain,Form P1: Census of Population and Housing,"This series contains the 1950 census which attempted to enumerate every person living in the United States on April 1, 1950, although some persons were missed. The enumeration began on April 1, 1950, and was completed within four weeks. | District of Columbia - That part of Police Precinct 3 (Tract 53 - part), Bounded by Corcoran; 17th; Q; New Hampshire Avenue, N. W. This Enumeration District consists of the following block: 7",43290879,National Archives and Records Administration,District of Columbia,Washington,1-174,https://1950census.archives.gov,1950Census/DC01-174/DC1-174-09.jpg,,,,,,,,,,,,,,
1950Census-DC1-174-10,Bureau of the Census,Public Domain,Form P1: Census of Population and Housing,"This series contains the 1950 census which attempted to enumerate every person living in the United States on April 1, 1950, although some persons were missed. The enumeration began on April 1, 1950, and was completed within four weeks. | District of Columbia - That part of Police Precinct 3 (Tract 53 - part), Bounded by Corcoran; 17th; Q; New Hampshire Avenue, N. W. This Enumeration District consists of the following block: 7",43290879,National Archives and Records Administration,District of Columbia,Washington,1-174,https://1950census.archives.gov,1950Census/DC01-174/DC1-174-10.jpg,,,,,,,,,,,,,,
